// !重要! - 致译者:
// 不要翻译任何包含于 <>(尖括号)的标签。
// 切忌误删任何半角引号——这会导致整个文件无法被解析。
// 译者注：最好保留原有的作者，只在 710001 号文本中用换行符"\n"分隔的方式添加新的合作者。
// 凡平民、无身份地位的，使用量词“位”，凡军事单位，使用“名”，避免对单位使用“个”等量词，如：
// 1 位牧羊人、1 位村民、1 名斥候骑兵、1 名步弓手

// 可以使用搜索、替换工具来加快翻译进程，但要避免使用以下字符串的全部或部分：
// Houses
// Shepherds
// Hunters
// Hunters/Shepherds
// Foragers
// Farmers
// Lumberjacks
// Gold Miners
// Stone Miners
// Walling Factor
// Town Centers
// Ranges
// Civilian Population
// Villagers
// Scouts
// Archers
// Militia
// Knights
// Skirms
// Fishing Ships
// Fire Galleys
// Relics Captured
// Conqs
// HCs
// BBCs
// BLUE
// RED
// GREEN
// YELLOW
// ORANGE
// Idle Dark
// Idle Feudal
// Idle Castle

// 译者注：善用正则等文本工具大幅度加快翻译进程。
// 如表达式 ^\d+ "[^"]+$ 匹配未以引号结尾的行。
// GLHF :)

// ---

// Authorship

730406 "(I) 24 pop 封建时代: E"
730407 "(I) 24 pop 封建时代: F"

730410 "(II) 6 斥候"
730411 "(II) 6 斥候: A+"
730412 "(II) 6 斥候: A"
730413 "(II) 6 斥候: B"
730414 "(II) 6 斥候: C"
730415 "(II) 6 斥候: D"
730416 "(II) 6 斥候: E"
730417 "(II) 6 斥候: F"

730420 "(II) 8 斥候 + 血统"
730421 "(II) 8 斥候 + 血统: A+"
730422 "(II) 8 斥候 + 血统: A"
730423 "(II) 8 斥候 + 血统: B"
730424 "(II) 8 斥候 + 血统: C"
730425 "(II) 8 斥候 + 血统: D"
730426 "(II) 8 斥候 + 血统: E"
730427 "(II) 8 斥候 + 血统: F"

730430 "(II) 6 步弓手 + 箭羽"
730431 "(II) 6 步弓手 + 箭羽: A+"
730432 "(II) 6 步弓手 + 箭羽: A"
730433 "(II) 6 步弓手 + 箭羽: B"
730434 "(II) 6 步弓手 + 箭羽: C"
730435 "(II) 6 步弓手 + 箭羽: D"
730436 "(II) 6 步弓手 + 箭羽: E"
730437 "(II) 6 步弓手 + 箭羽: F"

730440 "(II) 3 剑士"
730441 "(II) 3 剑士: A+"
730442 "(II) 3 剑士: A"
730443 "(II) 3 剑士: B"
730444 "(II) 3 剑士: C"
730445 "(II) 3 剑士: D"
730446 "(II) 3 剑士: E"
730447 "(II) 3 剑士: F"

730450 "(III) 5 步弓手 + 箭羽"
730451 "(III) 5 步弓手 + 箭羽: A+"
730452 "(III) 5 步弓手 + 箭羽: A"
730453 "(III) 5 步弓手 + 箭羽: B"
730454 "(III) 5 步弓手 + 箭羽: C"
730455 "(III) 5 步弓手 + 箭羽: D"
730456 "(III) 5 步弓手 + 箭羽: E"
730457 "(III) 5 步弓手 + 箭羽: F"

730510 "(III) 点击 城堡时代"
730511 "(III) 点击 城堡时代: A+"
730512 "(III) 点击 城堡时代: A"
730513 "(III) 点击 城堡时代: B"
730514 "(III) 点击 城堡时代: C"
730515 "(III) 点击 城堡时代: D"
730516 "(III) 点击 城堡时代: E"
730517 "(III) 点击 城堡时代: F"

730520 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代"
730521 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代: A+"
730522 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代: A"
730523 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代: B"
730524 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代: C"
730525 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代: D"
730526 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代: E"
730527 "(III) 8 掷矛手 + 箭羽 + 点击 城堡时代: F"

730530 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代"
730531 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代: A+"
730532 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代: A"
730533 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代: B"
730534 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代: C"
730535 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代: D"
730536 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代: E"
730537 "(III) 10 步弓手 + 箭羽 + 点击 城堡时代: F"

730540 "(III) 20 步弓手 + 点击 城堡时代"
730541 "(III) 20 步弓手 + 点击 城堡时代: A+"
730542 "(III) 20 步弓手 + 点击 城堡时代: A"
730543 "(III) 20 步弓手 + 点击 城堡时代: B"
730544 "(III) 20 步弓手 + 点击 城堡时代: C"
730545 "(III) 20 步弓手 + 点击 城堡时代: D"
730546 "(III) 20 步弓手 + 点击 城堡时代: E"
730547 "(III) 20 步弓手 + 点击 城堡时代: F"

730550 "(III) 22 步弓手 + 点击 城堡时代"
730551 "(III) 22 步弓手 + 点击 城堡时代: A+"
730552 "(III) 22 步弓手 + 点击 城堡时代: A"
730553 "(III) 22 步弓手 + 点击 城堡时代: B"
730554 "(III) 22 步弓手 + 点击 城堡时代: C"
730555 "(III) 22 步弓手 + 点击 城堡时代: D"
730556 "(III) 22 步弓手 + 点击 城堡时代: E"
730557 "(III) 22 步弓手 + 点击 城堡时代: F"

730560 "(III) 24 步弓手 + 点击 城堡时代"
730561 "(III) 24 步弓手 + 点击 城堡时代: A+"
730562 "(III) 24 步弓手 + 点击 城堡时代: A"
730563 "(III) 24 步弓手 + 点击 城堡时代: B"
730564 "(III) 24 步弓手 + 点击 城堡时代: C"
730565 "(III) 24 步弓手 + 点击 城堡时代: D"
730566 "(III) 24 步弓手 + 点击 城堡时代: E"
730567 "(III) 24 步弓手 + 点击 城堡时代: F"

730570 "(IV) 20 步弓手 + 点击 城堡时代"
730571 "(IV) 20 步弓手 + 点击 城堡时代: A+"
730572 "(IV) 20 步弓手 + 点击 城堡时代: A"
730573 "(IV) 20 步弓手 + 点击 城堡时代: B"
730574 "(IV) 20 步弓手 + 点击 城堡时代: C"
730575 "(IV) 20 步弓手 + 点击 城堡时代: D"
730576 "(IV) 20 步弓手 + 点击 城堡时代: E"
730577 "(IV) 20 步弓手 + 点击 城堡时代: F"

730610 "(II) 27+2 pop 城堡时代"
730611 "(II) 27+2 pop 城堡时代: A+"
730612 "(II) 27+2 pop 城堡时代: A"
730613 "(II) 27+2 pop 城堡时代: B"
730614 "(II) 27+2 pop 城堡时代: C"
730615 "(II) 27+2 pop 城堡时代: D"
730616 "(II) 27+2 pop 城堡时代: E"
730617 "(II) 27+2 pop 城堡时代: F"

730620 "(II) 28+2 pop 城堡时代"
730621 "(II) 28+2 pop 城堡时代: A+"
730622 "(II) 28+2 pop 城堡时代: A"
730623 "(II) 28+2 pop 城堡时代: B"
730624 "(II) 28+2 pop 城堡时代: C"
730625 "(II) 28+2 pop 城堡时代: D"
730626 "(II) 28+2 pop 城堡时代: E"
730627 "(II) 28+2 pop 城堡时代: F"

730630 "(III) 60 村民"
730631 "(III) 60 村民: A+"
730632 "(III) 60 村民: A"
730633 "(III) 60 村民: B"
730634 "(III) 60 村民: C"
730635 "(III) 60 村民: D"
730636 "(III) 60 村民: E"
730637 "(III) 60 村民: F"

730640 "(III) 6 骑士"
730641 "(III) 6 骑士: A+"
730642 "(III) 6 骑士: A"
730643 "(III) 6 骑士: B"
730644 "(III) 6 骑士: C"
730645 "(III) 6 骑士: D"
730646 "(III) 6 骑士: E"
730647 "(III) 6 骑士: F"

730650 "(III) 建造 城堡"
730651 "(III) 建造 城堡: A+"
730652 "(III) 建造 城堡: A"
730653 "(III) 建造 城堡: B"
730654 "(III) 建造 城堡: C"
730655 "(III) 建造 城堡: D"
730656 "(III) 建造 城堡: E"
730657 "(III) 建造 城堡: F"

730660 "(II) 32+2 pop 城堡时代"
730661 "(II) 32+2 pop 城堡时代: A+"
730662 "(II) 32+2 pop 城堡时代: A"
730663 "(II) 32+2 pop 城堡时代: B"
730664 "(II) 32+2 pop 城堡时代: C"
730665 "(II) 32+2 pop 城堡时代: D"
730666 "(II) 32+2 pop 城堡时代: E"
730667 "(II) 32+2 pop 城堡时代: F"

730670 "(III) 8 弩手 + 锥子箭"
730671 "(III) 8 弩手 + 锥子箭: A+"
730672 "(III) 8 弩手 + 锥子箭: A"
730673 "(III) 8 弩手 + 锥子箭: B"
730674 "(III) 8 弩手 + 锥子箭: C"
730675 "(III) 8 弩手 + 锥子箭: D"
730676 "(III) 8 弩手 + 锥子箭: E"
730677 "(III) 8 弩手 + 锥子箭: F"

730680 "(II) 25+2 pop 城堡时代"
730681 "(II) 25+2 pop 城堡时代: A+"
730682 "(II) 25+2 pop 城堡时代: A"
730683 "(II) 25+2 pop 城堡时代: B"
730684 "(II) 25+2 pop 城堡时代: C"
730685 "(II) 25+2 pop 城堡时代: D"
730686 "(II) 25+2 pop 城堡时代: E"
730687 "(II) 25+2 pop 城堡时代: F"

730690 "(III) 70+ 村民 + 点击 帝王时代"
730691 "(III) 70+ 村民 + 点击 帝王时代: A+"
730692 "(III) 70+ 村民 + 点击 帝王时代: A"
730693 "(III) 70+ 村民 + 点击 帝王时代: B"
730694 "(III) 70+ 村民 + 点击 帝王时代: C"
730695 "(III) 70+ 村民 + 点击 帝王时代: D"
730696 "(III) 70+ 村民 + 点击 帝王时代: E"
730697 "(III) 70+ 村民 + 点击 帝王时代: F"

730700 "(III) 90+ 村民 + 点击 帝王时代"
730701 "(III) 90+ 村民 + 点击 帝王时代: A+"
730702 "(III) 90+ 村民 + 点击 帝王时代: A"
730703 "(III) 90+ 村民 + 点击 帝王时代: B"
730704 "(III) 90+ 村民 + 点击 帝王时代: C"
730705 "(III) 90+ 村民 + 点击 帝王时代: D"
730706 "(III) 90+ 村民 + 点击 帝王时代: E"
730707 "(III) 90+ 村民 + 点击 帝王时代: F"

730710 "(II) 27+2 pop 城堡时代 + 4 斥候"
730711 "(II) 27+2 pop 城堡时代 + 4 斥候: A+"
730712 "(II) 27+2 pop 城堡时代 + 4 斥候: A"
730713 "(II) 27+2 pop 城堡时代 + 4 斥候: B"
730714 "(II) 27+2 pop 城堡时代 + 4 斥候: C"
730715 "(II) 27+2 pop 城堡时代 + 4 斥候: D"
730716 "(II) 27+2 pop 城堡时代 + 4 斥候: E"
730717 "(II) 27+2 pop 城堡时代 + 4 斥候: F"

730720 "(III) 70 村民 + 5 圣物 + 点击 帝王时代"
730721 "(III) 70 村民 + 5 圣物 + 点击 帝王时代: A+"
730722 "(III) 70 村民 + 5 圣物 + 点击 帝王时代: A"
730723 "(III) 70 村民 + 5 圣物 + 点击 帝王时代: B"
730724 "(III) 70 村民 + 5 圣物 + 点击 帝王时代: C"
730725 "(III) 70 村民 + 5 圣物 + 点击 帝王时代: D"
730726 "(III) 70 村民 + 5 圣物 + 点击 帝王时代: E"
730727 "(III) 70 村民 + 5 圣物 + 点击 帝王时代: F"

730730 "(II) 26+2 pop 城堡时代"
730731 "(II) 26+2 pop 城堡时代: A+"
730732 "(II) 26+2 pop 城堡时代: A"
730733 "(II) 26+2 pop 城堡时代: B"
730734 "(II) 26+2 pop 城堡时代: C"
730735 "(II) 26+2 pop 城堡时代: D"
730736 "(II) 26+2 pop 城堡时代: E"
730737 "(II) 26+2 pop 城堡时代: F"

730740 "(III) 6 征服者"
730741 "(III) 6 征服者: A+"
730742 "(III) 6 征服者: A"
730743 "(III) 6 征服者: B"
730744 "(III) 6 征服者: C"
730745 "(III) 6 征服者: D"
730746 "(III) 6 征服者: E"
730747 "(III) 6 征服者: F"

730750 "(II) 29+2+2 pop 帝王时代"
730751 "(II) 29+2+2 pop 帝王时代: A+"
730752 "(II) 29+2+2 pop 帝王时代: A"
730753 "(II) 29+2+2 pop 帝王时代: B"
730754 "(II) 29+2+2 pop 帝王时代: C"
730755 "(II) 29+2+2 pop 帝王时代: D"
730756 "(II) 29+2+2 pop 帝王时代: E"
730757 "(II) 29+2+2 pop 帝王时代: F"

730760 "(III) 10 火枪手 + 3 手推炮"
730761 "(III) 10 火枪手 + 3 手推炮: A+"
730762 "(III) 10 火枪手 + 3 手推炮: A"
730763 "(III) 10 火枪手 + 3 手推炮: B"
730764 "(III) 10 火枪手 + 3 手推炮: C"
730765 "(III) 10 火枪手 + 3 手推炮: D"
730766 "(III) 10 火枪手 + 3 手推炮: E"
730767 "(III) 10 火枪手 + 3 手推炮: F"

730770 "(III) 10 步弓手 + 点击 城堡时代"
730771 "(III) 10 步弓手 + 点击 城堡时代: A+"
730772 "(III) 10 步弓手 + 点击 城堡时代: A"
730773 "(III) 10 步弓手 + 点击 城堡时代: B"
730774 "(III) 10 步弓手 + 点击 城堡时代: C"
730775 "(III) 10 步弓手 + 点击 城堡时代: D"
730776 "(III) 10 步弓手 + 点击 城堡时代: E"
730777 "(III) 10 步弓手 + 点击 城堡时代: F"

730800 "(II) 5 火艨艟"
730801 "(II) 5 火艨艟: A+"
730802 "(II) 5 火艨艟: A"
730803 "(II) 5 火艨艟: B"
730804 "(II) 5 火艨艟: C"
730805 "(II) 5 火艨艟: D"
730806 "(II) 5 火艨艟: E"
730807 "(II) 5 火艨艟: F"

730810 "(II) 3 火艨艟, 8 步弓手 + 箭羽"
730811 "(II) 3 火艨艟, 8 步弓手 + 箭羽: A+"
730812 "(II) 3 火艨艟, 8 步弓手 + 箭羽: A"
730813 "(II) 3 火艨艟, 8 步弓手 + 箭羽: B"
730814 "(II) 3 火艨艟, 8 步弓手 + 箭羽: C"
730815 "(II) 3 火艨艟, 8 步弓手 + 箭羽: D"
730816 "(II) 3 火艨艟, 8 步弓手 + 箭羽: E"
730817 "(II) 3 火艨艟, 8 步弓手 + 箭羽: F"

730820 "(III) 16 火艨艟 + 点击 城堡时代"
730821 "(III) 16 火艨艟 + 点击 城堡时代: A+"
730822 "(III) 16 火艨艟 + 点击 城堡时代: A"
730823 "(III) 16 火艨艟 + 点击 城堡时代: B"
730824 "(III) 16 火艨艟 + 点击 城堡时代: C"
730825 "(III) 16 火艨艟 + 点击 城堡时代: D"
730826 "(III) 16 火艨艟 + 点击 城堡时代: E"
730827 "(III) 16 火艨艟 + 点击 城堡时代: F"

730830 "(III) 16 步弓手 + 点击 城堡时代"
730831 "(III) 16 步弓手 + 点击 城堡时代: A+"
730832 "(III) 16 步弓手 + 点击 城堡时代: A"
730833 "(III) 16 步弓手 + 点击 城堡时代: B"
730834 "(III) 16 步弓手 + 点击 城堡时代: C"
730835 "(III) 16 步弓手 + 点击 城堡时代: D"
730836 "(III) 16 步弓手 + 点击 城堡时代: E"
730837 "(III) 16 步弓手 + 点击 城堡时代: F"

730900 "(III) 最终评级: F"

// Grades

740301 "<GREEN>最终评级: A+"
740302 "<GREEN>最终评级: A"
740303 "<YELLOW>最终评级: B"
740304 "<YELLOW>最终评级: C"
740305 "<ORANGE>最终评级: D"
740306 "<ORANGE>最终评级: E"
740307 "<RED>最终评级: F"

740311 "<GREEN>21 pop 封建时代: A+"
740312 "<GREEN>21 pop 封建时代: A"
740313 "<YELLOW>21 pop 封建时代: B"
740314 "<YELLOW>21 pop 封建时代: C"
740315 "<ORANGE>21 pop 封建时代: D"
740316 "<ORANGE>21 pop 封建时代: E"
740317 "<RED>21 pop 封建时代: F"

740321 "<GREEN>22 pop 封建时代: A+"
740322 "<GREEN>22 pop 封建时代: A"
740323 "<YELLOW>22 pop 封建时代: B"
740324 "<YELLOW>22 pop 封建时代: C"
740325 "<ORANGE>22 pop 封建时代: D"
740326 "<ORANGE>22 pop 封建时代: E"
740327 "<RED>22 pop 封建时代: F"

740331 "<GREEN>23 pop 封建时代: A+"
740332 "<GREEN>23 pop 封建时代: A"
740333 "<YELLOW>23 pop 封建时代: B"
740334 "<YELLOW>23 pop 封建时代: C"
740335 "<ORANGE>23 pop 封建时代: D"
740336 "<ORANGE>23 pop 封建时代: E"
740337 "<RED>23 pop 封建时代: F"

740341 "<GREEN>27 pop 封建时代: A+"
740342 "<GREEN>27 pop 封建时代: A"
740343 "<YELLOW>27 pop 封建时代: B"
740344 "<YELLOW>27 pop 封建时代: C"
740345 "<ORANGE>27 pop 封建时代: D"
740346 "<ORANGE>27 pop 封建时代: E"
740347 "<RED>27 pop 封建时代: F"

740351 "<GREEN>28 pop 封建时代: A+"
740352 "<GREEN>28 pop 封建时代: A"
740353 "<YELLOW>28 pop 封建时代: B"
740354 "<YELLOW>28 pop 封建时代: C"
740355 "<ORANGE>28 pop 封建时代: D"
740356 "<ORANGE>28 pop 封建时代: E"
740357 "<RED>28 pop 封建时代: F"

740361 "<GREEN>32 pop 封建时代: A+"
740362 "<GREEN>32 pop 封建时代: A"
740363 "<YELLOW>32 pop 封建时代: B"
740364 "<YELLOW>32 pop 封建时代: C"
740365 "<ORANGE>32 pop 封建时代: D"
740366 "<ORANGE>32 pop 封建时代: E"
740367 "<RED>32 pop 封建时代: F"

740371 "<GREEN>25 pop 封建时代: A+"
740372 "<GREEN>25 pop 封建时代: A"
740373 "<YELLOW>25 pop 封建时代: B"
740374 "<YELLOW>25 pop 封建时代: C"
740375 "<ORANGE>25 pop 封建时代: D"
740376 "<ORANGE>25 pop 封建时代: E"
740377 "<RED>25 pop 封建时代: F"

740381 "<GREEN>26 pop 封建时代: A+"
740382 "<GREEN>26 pop 封建时代: A"
740383 "<YELLOW>26 pop 封建时代: B"
740384 "<YELLOW>26 pop 封建时代: C"
740385 "<ORANGE>26 pop 封建时代: D"
740386 "<ORANGE>26 pop 封建时代: E"
740387 "<RED>26 pop 封建时代: F"

740391 "<GREEN>29 pop 封建时代: A+"
740392 "<GREEN>29 pop 封建时代: A"
740393 "<YELLOW>29 pop 封建时代: B"
740394 "<YELLOW>29 pop 封建时代: C"
740395 "<ORANGE>29 pop 封建时代: D"
740396 "<ORANGE>29 pop 封建时代: E"
740397 "<RED>29 pop 封建时代: F"

740401 "<GREEN>24 pop 封建时代: A+"
740402 "<GREEN>24 pop 封建时代: A"
740403 "<YELLOW>24 pop 封建时代: B"
740404 "<YELLOW>24 pop 封建时代: C"
740405 "<ORANGE>24 pop 封建时代: D"
740406 "<ORANGE>24 pop 封建时代: E"
740407 "<RED>24 pop 封建时代: F"

740411 "<GREEN>6 斥候: A+"
740412 "<GREEN>6 斥候: A"
740413 "<YELLOW>6 斥候: B"
740414 "<YELLOW>6 斥候: C"
740415 "<ORANGE>6 斥候: D"
740416 "<ORANGE>6 斥候: E"
740417 "<RED>6 斥候: F"

740421 "<GREEN>8 斥候 + 血统: A+"
740422 "<GREEN>8 斥候 + 血统: A"
740423 "<YELLOW>8 斥候 + 血统: B"
740424 "<YELLOW>8 斥候 + 血统: C"
740425 "<ORANGE>8 斥候 + 血统: D"
740426 "<ORANGE>8 斥候 + 血统: E"
740427 "<RED>8 斥候 + 血统: F"

740431 "<GREEN>6 步弓手 + 箭羽: A+"
740432 "<GREEN>6 步弓手 + 箭羽: A"
740433 "<YELLOW>6 步弓手 + 箭羽: B"
740434 "<YELLOW>6 步弓手 + 箭羽: C"
740435 "<ORANGE>6 步弓手 + 箭羽: D"
740436 "<ORANGE>6 步弓手 + 箭羽: E"
740437 "<RED>6 步弓手 + 箭羽: F"

740441 "<GREEN>3 剑士: A+"
740442 "<GREEN>3 剑士: A"
740443 "<YELLOW>3 剑士: B"
740444 "<YELLOW>3 剑士: C"
740445 "<ORANGE>3 剑士: D"
740446 "<ORANGE>3 剑士: E"
740447 "<RED>3 剑士: F"

740451 "<GREEN>5 步弓手 + 箭羽: A+"
740452 "<GREEN>5 步弓手 + 箭羽: A"
740453 "<YELLOW>5 步弓手 + 箭羽: B"
740454 "<YELLOW>5 步弓手 + 箭羽: C"
740455 "<ORANGE>5 步弓手 + 箭羽: D"
740456 "<ORANGE>5 步弓手 + 箭羽: E"
740457 "<RED>5 步弓手 + 箭羽: F"

740611 "<GREEN>27+2 pop 城堡时代: A+"
740612 "<GREEN>27+2 pop 城堡时代: A"
740613 "<YELLOW>27+2 pop 城堡时代: B"
740614 "<YELLOW>27+2 pop 城堡时代: C"
740615 "<ORANGE>27+2 pop 城堡时代: D"
740616 "<ORANGE>27+2 pop 城堡时代: E"
740617 "<RED>27+2 pop 城堡时代: F"

740621 "<GREEN>28+2 pop 城堡时代: A+"
740622 "<GREEN>28+2 pop 城堡时代: A"
740623 "<YELLOW>28+2 pop 城堡时代: B"
740624 "<YELLOW>28+2 pop 城堡时代: C"
740625 "<ORANGE>28+2 pop 城堡时代: D"
740626 "<ORANGE>28+2 pop 城堡时代: E"
740627 "<RED>28+2 pop 城堡时代: F"

740661 "<GREEN>32+2 pop 城堡时代: A+"
740662 "<GREEN>32+2 pop 城堡时代: A"
740663 "<YELLOW>32+2 pop 城堡时代: B"
740664 "<YELLOW>32+2 pop 城堡时代: C"
740665 "<ORANGE>32+2 pop 城堡时代: D"
740666 "<ORANGE>32+2 pop 城堡时代: E"
740667 "<RED>32+2 pop 城堡时代: F"

740681 "<GREEN>25+2 pop 城堡时代: A+"
740682 "<GREEN>25+2 pop 城堡时代: A"
740683 "<YELLOW>25+2 pop 城堡时代: B"
740684 "<YELLOW>25+2 pop 城堡时代: C"
740685 "<ORANGE>25+2 pop 城堡时代: D"
740686 "<ORANGE>25+2 pop 城堡时代: E"
740687 "<RED>25+2 pop 城堡时代: F"

740711 "<GREEN>27+2 pop 城堡时代 + 4 斥候: A+"
740712 "<GREEN>27+2 pop 城堡时代 + 4 斥候: A"
740713 "<YELLOW>27+2 pop 城堡时代 + 4 斥候: B"
740714 "<YELLOW>27+2 pop 城堡时代 + 4 斥候: C"
740715 "<ORANGE>27+2 pop 城堡时代 + 4 斥候: D"
740716 "<ORANGE>27+2 pop 城堡时代 + 4 斥候: E"
740717 "<RED>27+2 pop 城堡时代 + 4 斥候: F"

740731 "<GREEN>26+2 pop 城堡时代: A+"
740732 "<GREEN>26+2 pop 城堡时代: A"
740733 "<YELLOW>26+2 pop 城堡时代: B"
740734 "<YELLOW>26+2 pop 城堡时代: C"
740735 "<ORANGE>26+2 pop 城堡时代: D"
740736 "<ORANGE>26+2 pop 城堡时代: E"
740737 "<RED>26+2 pop 城堡时代: F"

740751 "<GREEN>29+2+2 pop 帝王时代: A+"
740752 "<GREEN>29+2+2 pop 帝王时代: A"
740753 "<YELLOW>29+2+2 pop 帝王时代: B"
740754 "<YELLOW>29+2+2 pop 帝王时代: C"
740755 "<ORANGE>29+2+2 pop 帝王时代: D"
740756 "<ORANGE>29+2+2 pop 帝王时代: E"
740757 "<RED>29+2+2 pop 帝王时代: F"

740801 "<GREEN>5 火艨艟: A+"
740802 "<GREEN>5 火艨艟: A"
740803 "<YELLOW>5 火艨艟: B"
740804 "<YELLOW>5 火艨艟: C"
740805 "<ORANGE>5 火艨艟: D"
740806 "<ORANGE>5 火艨艟: E"
740807 "<RED>5 火艨艟: F"

740811 "<GREEN>3 火艨艟, 8 步弓手 + 箭羽: A+"
740812 "<GREEN>3 火艨艟, 8 步弓手 + 箭羽: A"
740813 "<YELLOW>3 火艨艟, 8 步弓手 + 箭羽: B"
740814 "<YELLOW>3 火艨艟, 8 步弓手 + 箭羽: C"
740815 "<ORANGE>3 火艨艟, 8 步弓手 + 箭羽: D"
740816 "<ORANGE>3 火艨艟, 8 步弓手 + 箭羽: E"
740817 "<RED>3 火艨艟, 8 步弓手 + 箭羽: F"

// Descriptions

750001 "经典 BO。斥候骑兵可获得早期地图控制权，在敌人围家前输出早期伤害，并且能有效击杀小群步弓手、掷矛手。这个 BO 虽然已在竞技中被更迅速的 BO 版本所替代，但由于其简单的经济配置，仍然适于新手玩家起步。"

750002 "此 BO 是在构建一个能够在到达封建时代后从两座靶场持续生产步弓手的经济，并且很快就研究箭羽。这是一个“较慢”的 BO，因为需要训练大量的步弓手，且研究箭羽后才能成型。它尤其适用于对抗低分段的玩家，以及在团战中的侧翼(坐边)选手。"

750003 "此 BO 不适用于 1v1(除非低分段)，而主要由团战坐中的选手运用，因为骑士的强机动性对这种位置来说是理想的选择。此 BO 能够从两座马厩中至少训练 6 名骑士，而此部队能够快速抵达那些需要它们的地方。之后可以选择暂停骑士的训练来起更多的 TC，或者保持单 TC 来训练更多骑士。注意分段越高的玩家越有可能在阿拉伯地图坐中时选择斥候封快。"

750004 "迈入城堡时代后立即拍两座额外的 TC 并维持 3TC 不断生产村民。在城堡时代，需要将所有 TC 的聚集点都设置在附近森林上，每攒 60 木材就立即转一块农田。让一些村民采金使得在食物紧缺时能够从市场买到一些来缓解，也可以购买石料来起第 4 座 TC。虽然此类 BO 通常只在封闭地图上使用，但对于任何地图来说，Booming(即本 BO)通常都是一项重要的技能。"

750005 "相比于基础版本的斥候 BO，这是一个更具竞技性的版本，虽然更快的版本也很常见，尤其是赶鹿和使用有经济优势的民族。在 1v1 中，可能需要转靶场单位，但也可以在训练完斥候后直接进入城堡时代。斥候转骑士是高分局坐中选手的标准选择。"

750006 "如果对手步弓手成型，则在斥候开局后可能需要转靶场靶场单位。一般不选步弓手，因为较之敌方会有数量劣势，掷矛手通常是最好的选择，特别是它们的训练非常快(22 游戏秒，比步弓手的 35 快 13，训练两名步弓手的时间大致和三名掷矛手相当)，只需一座靶场。研究射手软甲(一级远防)后更是让步弓手打不动。"

750007 "这个 BO 主要见于持续的斥候大战中。带箭羽的步弓手是封建军队的强力补充，但也会延迟进入城堡时代的时间。在诸如匈族等适合斥候开局，城堡转骑射的文明中更常见。"

750008 "更具竞技性的步弓手 BO，主要由团战侧翼(坐边)选手运用。也能应付在 1v1 中更常见的剑士和黑快。此 BO 能在到达封建时代后从 2 座靶场中训练步弓手且在早期就有箭羽，马轭(一级耕种)通常先暂时跳过。"

750009 "此 BO 需要在升封建过程中训练三(或四)名民兵，迈入封建后再升级到剑士。在封建早期，剑士拥有一个相对短的窗口时间，对来不及围家的敌人输出显著伤害，因此这个 BO 是为步弓手成型争取时间的一种方式，因为对手通常被迫要先应付在基地附近的剑士。此版本在封建时代只建造一座靶场，以更快地升级到城堡时代，但两座靶场同样可行——这个指南的其他一些场景演示了如何为双靶场训练设置经济。在建造第二座靶场前，农田越多，越能更早到达城堡时代。于 1v1 时，通常建议至少训练一些掷矛手来对抗敌方步弓手，但为了简便起见，本场景只让玩家训练步弓手。"

750010 "对 1v1 来说，通常由于单纯的步弓手太慢，而以其他开局来为步弓手成型争取时间。因此黑(暗时代)快(攻)的主要目的在于用三名民兵骚扰并拖延对手，击杀任何村民都是额外收获。"

750011 "虽然通常渴望一个良好的地形(，但往往事与愿违)，黑(暗时代)快(攻)可以用来为直城争取时间。当迈入城堡时代时经济会非常拮据，因此通常不得不推迟研究弓锯(二级伐木)和锥子箭。"

750012 "中国开局值得练习，因为它相当困难，如果不勤加训练，则其经济优势实际上会被打成经济劣势。在 1v1 中斥候是中国的标准开局。"

750013 "另一个中国的开局练习，团战中侧翼(坐边)选手值得去了解。这也是步弓手 BO 的其中一种改编。"

750014 "鱼群资源总是值得争取，况且在一幅水域地图上，失去制海权常常意味着输掉比赛。因此这个 BO 大体是完全投资制海权，从封建时代起在三座船坞中建造舰艇。为了简单起见，此场景只需建造火艨艟，但在 demo 中混合和(或)转到箭船也是可行的。若建造箭船，箭羽非常重要。"

750015 "一种在兼顾渔业的同时主攻陆地的方式。即使在大部分战斗都发生在陆地的地图上，鱼肉也值得争取。尽管投资了一些火艨艟来保护渔船，步弓手也只是稍微延迟了一些，并且渔业的存在使得能比标准的步弓手 BO 更早抵达城堡时代。"

